smiles,Tm,num_atms,dipole,quadrupole
NC1=C(F)C=C(F)C(=C1)C(O)=O,443.15,17,4.50421246724,13.524744554
CC(C1=CC=C(OC(F)=C(F)F)C=C1)(C1=CC=C(OC(F)=C(F)F)C=C1)C1=CC=C(OC(F)=C(F)F)C=C1,304.65,53,1.39397447968,13.8507859737
CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1,322.15,43,2.95083921114,17.3188042067
OC(=O)C1=C(C=C(Cl)C=C1)N1CCCC1=O,492.15,26,5.42248860764,19.6879115226
O=CC1=CN=C(S1)C1=NC=CN=C1,433.15,18,3.11979594525,11.3570113547
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,497.15,54,5.34422603845,34.852997347
OC(=O)CC(CC1=CC=CC=C1)C(O)=O,435.15,27,2.52015781649,16.0851391707
CCOC(=O)C(NC(=O)C1=CC=CC=C1)C(=O)OCC,336.15,37,6.31280130291,12.2656940493
OC(=O)C1=C(I)C(I)=CC(I)=C1,499.15,15,3.52343506681,16.8873425464
FC(F)(F)C1=CC=C(I)C=C1,265.15,15,0.936545620886,7.87633463421
ClCC(=O)N1CCNC(=O)C1,398.15,20,2.91111523647,13.9437451264
CC1=CC=C(C=C1)N1C=C(C=N1)S(Cl)(=O)=O,366.15,25,6.95329105244,10.3820470616
OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,448.65,45,4.82755947245,29.2308229335
COC1=C(O)C(Br)=CC(=C1)C(O)=O,471.15,20,6.93834108847,9.45546158947
CC1(C)C2CCC1(C)C(CC2)=NNC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,505.15,47,8.73526515968,39.1833929152
CCC1=C(C(=O)C2=CC(I)=C(O)C(I)=C2)C2=C(O1)C=CC=C2,440.15,34,3.75300923127,9.9778504178
CCCC1=CC=C(O)C=C1,294.65,22,1.32961022108,7.75569372655
C(NC1=NC2=C(N1)C=CC=C2)C1=CC=CC=C1,421.15,30,4.39003018896,6.39606393261
CC1=CC=C(C=C1)S(=O)(=O)N1CCC(=O)CC1,399.15,32,5.31490692769,17.3376789992
NC(=O)C(F)(F)C(F)(F)C(N)=O,533.15,16,1.81210531703,15.3608971138
NCCNCCNCCN,238.15,28,3.16822171415,17.9945939479
FC1=C(F)C(F)=C(OC(=O)OC2=C(F)C(F)=C(F)C(F)=C2F)C(F)=C1F,322.65,26,0.942054886936,4.01326239237
CC1=CC=C(C=N1)C#N,358.15,15,4.4676464699,11.7203687271
CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)OC2=CC=CC=C2C1=O,470.15,41,7.98723745359,46.2343518369
CCC(O)C1CCCCN1,394.15,27,1.45364098387,7.30622333562
CC1CNCCN1,361.65,19,0.127609129767,8.22535893503
ClC1=C(C=O)C(=O)OC2=C1C=CC=C2,387.15,19,5.72838025623,8.45570460813
CC1C=CC2C(C1C(O)=O)C(=O)N(CC(F)(F)F)C2=O,440.15,32,4.31483326329,22.6692539659
OC(=O)CCC1=C(F)C=CC(Br)=C1,358.15,21,2.03479892127,7.50556603328
CN1C=C(C=C1C(O)=O)C(N)=O,497.15,20,2.43567937545,17.0580743424
BrC(Br)C1=CC=C(C=C1)C(Br)Br,445.15,18,2.20763707842,12.1513935542
CC(C)CCOC(=O)C=CC1=CC=C(C=CC(=O)OCCC(C)C)C(=C1)[N+]([O-])=O,366.65,58,4.40139127322,32.0865209937
CCC1=NN(C)C(CC)=C1S(N)(=O)=O,451.15,29,5.74145266026,20.6412145154
O=C(NC1=CC=CC=C1)C1=CC=CC=C1,437.15,26,3.21159857081,12.6469646062
OC(=O)C1=C2C(ON=C2C2CC2)=NC(=C1)C1=CC=CC=C1,473.15,33,1.11002460333,29.7514585863
